id,original_question,rank,predicted_id,score
8c17c1259ed0c31bff3ee48ef8a6c4c54469c7769ffbc1c1,"Who is Hermann Ii, Count Palatine Of Lotharingia's paternal grandfather?",1,8c17c1259ed0c31bff3ee48ef8a6c4c54469c7769ffbc1c1,0.9996486
8c17c1259ed0c31bff3ee48ef8a6c4c54469c7769ffbc1c1,"Who is Hermann Ii, Count Palatine Of Lotharingia's paternal grandfather?",2,32482945828a5aab162d7534d56b2b39f5292f6cd0fe0587,0.96801925
8c17c1259ed0c31bff3ee48ef8a6c4c54469c7769ffbc1c1,"Who is Hermann Ii, Count Palatine Of Lotharingia's paternal grandfather?",3,8e74e61b04f497cda285fdb613c9297b39c2f35c78a46bb4,0.5503014
52150ca076ef6a156239c8fd2cb45983ba9b8cd446312f22,Where was the director of film Requiem For Dominic born?,1,52150ca076ef6a156239c8fd2cb45983ba9b8cd446312f22,0.99897987
52150ca076ef6a156239c8fd2cb45983ba9b8cd446312f22,Where was the director of film Requiem For Dominic born?,2,feac1266126ef65a017535d551c19f741c29144a057bac71,0.019239197
52150ca076ef6a156239c8fd2cb45983ba9b8cd446312f22,Where was the director of film Requiem For Dominic born?,3,df74c88567561261707555fa8504bf93678834b5fce5f943,0.0004439872
61fa50e62866fbeeffc9822aa76f8f363578e72c1a7436af,What is the place of birth of Ibrahim Ibn Muhammad's mother?,1,61fa50e62866fbeeffc9822aa76f8f363578e72c1a7436af,0.998487
61fa50e62866fbeeffc9822aa76f8f363578e72c1a7436af,What is the place of birth of Ibrahim Ibn Muhammad's mother?,2,8af6d8a5fbee80d8de94359d33a5894a0c5169c9a33c7509,4.374463e-05
61fa50e62866fbeeffc9822aa76f8f363578e72c1a7436af,What is the place of birth of Ibrahim Ibn Muhammad's mother?,3,87932b85c9972f32d1e88477d93d8115a87d42eaf0091ee9,3.185652e-05
4adca5ba1654b740d1e25c6e73d45aa2f3621537bed9086b,"Which film has the director died earlier, Kadamba (1983 Film) or Mickey'S Tent Show?",1,4adca5ba1654b740d1e25c6e73d45aa2f3621537bed9086b,0.99968755
4adca5ba1654b740d1e25c6e73d45aa2f3621537bed9086b,"Which film has the director died earlier, Kadamba (1983 Film) or Mickey'S Tent Show?",2,569f8b123108053ea946f9efffbe0406abcfd288b5b13bf2,0.9596765
4adca5ba1654b740d1e25c6e73d45aa2f3621537bed9086b,"Which film has the director died earlier, Kadamba (1983 Film) or Mickey'S Tent Show?",3,dd3a33f7a133c0cf642f5c916366314d4a4833334e35e724,0.7349651
3ec0722ff6e0d8361ed2ab093a992915fe5b1ddb10ee39a9,"Who was born first, Damien Hétu or Matan Cohen?",1,3ec0722ff6e0d8361ed2ab093a992915fe5b1ddb10ee39a9,0.9995461
3ec0722ff6e0d8361ed2ab093a992915fe5b1ddb10ee39a9,"Who was born first, Damien Hétu or Matan Cohen?",2,8e33b783534c90d43c07617f4106a5056cb93ba21758b91c,0.02589376
3ec0722ff6e0d8361ed2ab093a992915fe5b1ddb10ee39a9,"Who was born first, Damien Hétu or Matan Cohen?",3,24144554a83a55c968553f1def746d606e45881afe44feff,0.005720624
16a0130f95804e9b0791a89e2d18e46f611c1620891658b8,Do director of film Happy Days (1929 Film) and director of film Hero (1982 Film) share the same nationality?,1,16a0130f95804e9b0791a89e2d18e46f611c1620891658b8,0.9998267
